Max Plume Concentration (ppm m),UTC Time Observed,Latitude of max concentration,Longitude of max concentration,Concentration Uncertainty (ppm m)
1791.0,2022-08-28T05:18:53Z,39.133952814084935,63.26334751709019,226.0
3714.0,2022-08-28T05:18:53Z,39.01791505475008,64.07398513487345,693.0
2849.0,2022-08-28T05:18:53Z,39.01249272954751,64.09242104056217,443.0
6397.0,2022-08-28T05:18:53Z,38.786381768600606,64.63736472341982,244.0
4353.0,2022-08-28T05:18:53Z,38.66166828894164,64.77454955104469,297.0
2292.0,2022-08-28T06:53:00Z,36.97532515094439,42.81359024814158,444.0
1593.0,2022-08-28T06:53:00Z,36.17932781120805,43.89209073093149,379.0
9456.0,2022-08-28T06:55:50Z,30.064571680276984,51.54570275435014,1417.0
1140.0,2022-08-28T08:28:47Z,29.70886714698885,28.631498680836312,168.0
1013.0,2022-08-28T08:28:47Z,29.523423625061174,28.43792167110479,221.0
2122.0,2022-08-28T08:28:47Z,29.566259994161427,28.526305571906576,298.0
870.0,2022-08-28T08:28:47Z,29.550535251073992,28.537150222311706,261.0
2333.0,2022-08-28T08:28:47Z,29.6025895730186,28.616316170269133,323.0
4289.0,2022-08-29T06:06:27Z,35.460869721868335,51.32609858364622,474.0
2630.0,2022-08-29T06:09:13Z,27.306777082253078,60.27835749307893,529.0
2618.0,2022-08-29T06:09:13Z,27.263940713152824,60.69370760359531,479.0
2087.0,2022-08-29T16:55:53Z,36.381038308743435,-114.85623975948467,564.0
1326.0,2022-08-30T06:52:44Z,33.32284689449749,36.44127367008873,333.0
1278.0,2022-08-31T06:07:02Z,29.04951240235703,47.585236426397636,216.0
1803.0,2022-08-31T06:07:02Z,29.170430254374203,47.924131751557866,356.0
2599.0,2022-09-01T03:43:18Z,38.26095845647221,66.01463532487095,552.0
1929.0,2022-09-01T03:43:18Z,38.31463947597759,66.07048527445735,359.0
4484.0,2022-09-01T03:43:18Z,38.48923834750014,65.98915039641889,797.0
2516.0,2022-09-01T03:43:18Z,38.49737183530399,66.0102974647089,418.0
